x,y,u
-1.0,-1.0,-1.8933107847921704
-1.0,-0.98,-1.894042759146352
-1.0,-0.96,-1.886496678552703
-1.0,-0.939,-1.8698223916625876
-1.0,-0.919,-1.8458054795677623
-1.0,-0.899,-1.8140998251892082
-1.0,-0.879,-1.7750358337270273
-1.0,-0.859,-1.7290559532391496
-1.0,-0.838,-1.6739416892411725
-1.0,-0.818,-1.6156444464840791
-1.0,-0.798,-1.5524454470885718
-1.0,-0.778,-1.4851384588206988
-1.0,-0.758,-1.4144847486108718
-1.0,-0.737,-1.3374235945075572
-1.0,-0.717,-1.2618193956182244
-1.0,-0.697,-1.1843467009538318
-1.0,-0.677,-1.1050483610014734
-1.0,-0.657,-1.0237254497714317
-1.0,-0.636,-0.9357204508524459
-1.0,-0.616,-0.8488505797639159
-1.0,-0.596,-0.7584059267229687
-1.0,-0.576,-0.6638632700576893
-1.0,-0.556,-0.5648692214697638
-1.0,-0.535,-0.45604266365028623
-1.0,-0.515,-0.3480136847592369
-1.0,-0.495,-0.2363520129920405
-1.0,-0.475,-0.12206475412299514
-1.0,-0.455,-0.006484065027817315
-1.0,-0.434,0.11454185551834309
-1.0,-0.414,0.22770227540949767
-1.0,-0.394,0.3370657854389862
-1.0,-0.374,0.44103959514416347
-1.0,-0.354,0.5382705393075233
-1.0,-0.333,0.6319932951197268
-1.0,-0.313,0.7126349982895621
-1.0,-0.293,0.7846614449319476
-1.0,-0.273,0.848267164284974
-1.0,-0.253,0.9039880717653321
-1.0,-0.232,0.9548884724401441
-1.0,-0.212,0.9971347458482969
-1.0,-0.192,1.0343724934789913
-1.0,-0.172,1.0676329270215892
-1.0,-0.152,1.09786537195125
-1.0,-0.131,1.1272323882950195
-1.0,-0.111,1.153613634201594
-1.0,-0.091,1.178935014213258
-1.0,-0.071,1.20353299820007
-1.0,-0.051,1.227621867402653
-1.0,-0.03,1.2524946233299086
-1.0,-0.01,1.2758195699730173
-1.0,0.01,1.2987441808722946
-1.0,0.03,1.3211247641070525
-1.0,0.051,1.3437339946072004
-1.0,0.071,1.3639369652302815
-1.0,0.091,1.3821341719199614
-1.0,0.111,1.397349224628049
-1.0,0.131,1.408306019514141
-1.0,0.152,1.4135155375864124
-1.0,0.172,1.4105912757154233
-1.0,0.192,1.3979832507578709
-1.0,0.212,1.3737089434105132
-1.0,0.232,1.3359381005617696
-1.0,0.253,1.2801007783532805
-1.0,0.273,1.2104751265389477
-1.0,0.293,1.124455523661345
-1.0,0.313,1.0224707007802958
-1.0,0.333,0.9057565513903498
-1.0,0.354,0.7695742662465284
-1.0,0.374,0.6297304957070001
-1.0,0.394,0.4832886917979247
-1.0,0.414,0.3337946040826778
-1.0,0.434,0.1848329007980759
-1.0,0.455,0.032668529803484087
-1.0,0.475,-0.10520505733752092
-1.0,0.495,-0.23397113124261587
-1.0,0.515,-0.35224989038045695
-1.0,0.535,-0.4595279695823845
-1.0,0.556,-0.5606972517828563
-1.0,0.576,-0.6472488112518391
-1.0,0.596,-0.7259176911710334
-1.0,0.616,-0.7987106656814396
-1.0,0.636,-0.8677507948660147
-1.0,0.657,-0.9384013344389948
-1.0,0.677,-1.0057009119092875
-1.0,0.697,-1.0742597356871724
-1.0,0.717,-1.144751714296503
-1.0,0.737,-1.2172744710216223
-1.0,0.758,-1.2951241727874088
-1.0,0.778,-1.3699510452514119
-1.0,0.798,-1.44420423390142
-1.0,0.818,-1.5164801097974956
-1.0,0.838,-1.5853287645627967
-1.0,0.859,-1.6524420254543557
-1.0,0.879,-1.7101872282423562
-1.0,0.899,-1.7609449075373513
-1.0,0.919,-1.8040140998496286
-1.0,0.939,-1.8389387443182723
-1.0,0.96,-1.866570774493392
-1.0,0.98,-1.8841791627040396
-1.0,1.0,-1.893310798468463
-0.98,-1.0,-1.8940427591463518
-0.98,-0.98,-1.886699189708482
-0.98,-0.96,-1.8715041279102855
-0.98,-0.939,-1.8472786390544962
-0.98,-0.919,-1.8165637449680148
-0.98,-0.899,-1.7787014713831097
-0.98,-0.879,-1.734104928044511
-0.98,-0.859,-1.6833051983351068
-0.98,-0.838,-1.623990873611828
-0.98,-0.818,-1.5625759851820875
-0.98,-0.798,-1.4971415351111979
-0.98,-0.778,-1.4284486047597516
-0.98,-0.758,-1.357171756847879
-0.98,-0.737,-1.2801265790375729
-0.98,-0.717,-1.2049873996783393
-0.98,-0.697,-1.128217409063418
-0.98,-0.677,-1.0496631427763043
-0.98,-0.657,-0.9689616141967333
-0.98,-0.636,-0.8813470393363991
-0.98,-0.616,-0.7945490513338979
-0.98,-0.596,-0.7039069135190248
-0.98,-0.576,-0.6089943501192207
-0.98,-0.556,-0.509612781409689
-0.98,-0.535,-0.4005741883011327
-0.98,-0.515,-0.29274770494162744
-0.98,-0.495,-0.18188382888274596
-0.98,-0.475,-0.06914741296644777
-0.98,-0.455,0.04403045935096439
-0.98,-0.434,0.16159094013188263
-0.98,-0.414,0.2706116017249766
-0.98,-0.394,0.3751505442997221
-0.98,-0.374,0.4738084825006166
-0.98,-0.354,0.5654673708414992
-0.98,-0.333,0.6533421867319322
-0.98,-0.313,0.7286746836808096
-0.98,-0.293,0.7958670242196002
-0.98,-0.273,0.8552826976489837
-0.98,-0.253,0.9075666547609935
-0.98,-0.232,0.9557157796726443
-0.98,-0.212,0.996140300832869
-0.98,-0.192,1.0322589931353123
-0.98,-0.172,1.064992847816505
-0.98,-0.152,1.095153714284091
-0.98,-0.131,1.1247824862602707
-0.98,-0.111,1.1515948976217152
-0.98,-0.091,1.1774137243157523
-0.98,-0.071,1.2024915595148566
-0.98,-0.051,1.2269905049527001
-0.98,-0.03,1.252194114063159
-0.98,-0.01,1.275738938093516
-0.98,0.01,1.2988083853811443
-0.98,0.03,1.3212841930621428
-0.98,0.051,1.343969143081706
-0.98,0.071,1.3642481436955924
-0.98,0.091,1.3825463506422826
-0.98,0.111,1.397906796225171
-0.98,0.131,1.4090755314293912
-0.98,0.152,1.4146065446621356
-0.98,0.172,1.4121235425804537
-0.98,0.192,1.4001384889914117
-0.98,0.212,1.3767364883139455
-0.98,0.232,1.3401590312226106
-0.98,0.253,1.286009318634363
-0.98,0.273,1.2184770674067116
-0.98,0.293,1.1350812636544356
-0.98,0.313,1.0362761687750732
-0.98,0.333,0.9232859591205586
-0.98,0.354,0.7915395938721885
-0.98,0.374,0.6563192005861438
-0.98,0.394,0.5147507258304809
-0.98,0.414,0.3702166818245727
-0.98,0.434,0.22612530642218964
-0.98,0.455,0.07878869800304794
-0.98,0.475,-0.05491717668315754
-0.98,0.495,-0.18005279816375958
-0.98,0.515,-0.2953064576462872
-0.98,0.535,-0.40018305522164865
-0.98,0.556,-0.49946703581750923
-0.98,0.576,-0.5847528620585484
-0.98,0.596,-0.662570140789043
-0.98,0.616,-0.7348139301776071
-0.98,0.636,-0.8035011214515324
-0.98,0.657,-0.8739040828570721
-0.98,0.677,-0.9410362192356199
-0.98,0.697,-1.009495043756631
-0.98,0.717,-1.079995293716384
-0.98,0.737,-1.1527188653123337
-0.98,0.758,-1.2311088454559518
-0.98,0.778,-1.3068990378572107
-0.98,0.798,-1.3826808067948164
-0.98,0.818,-1.4571599603167433
-0.98,0.838,-1.5289677701516404
-0.98,0.859,-1.6000449317005143
-0.98,0.879,-1.6623775066170206
-0.98,0.899,-1.718465057117889
-0.98,0.919,-1.7675217842422621
-0.98,0.939,-1.8089735482692122
-0.98,0.96,-1.8438937372870932
-0.98,0.98,-1.868711085724681
-0.98,1.0,-1.8851713805244512
-0.96,-1.0,-1.8864966785527035
-0.96,-0.98,-1.8715040266077607
-0.96,-0.96,-1.8490946349883515
-0.96,-0.939,-1.8177993252514921
-0.96,-0.919,-1.780893830450895
-0.96,-0.899,-1.7374534828329529
-0.96,-0.879,-1.6879810009178793
-0.96,-0.859,-1.6330938601862044
-0.96,-0.838,-1.570404930784998
-0.96,-0.818,-1.506675212151721
-0.96,-0.798,-1.4397773225930965
-0.96,-0.778,-1.3703904797817683
-0.96,-0.758,-1.2990553064008865
-0.96,-0.737,-1.2224421803984136
-0.96,-0.717,-1.147978045557581
-0.96,-0.697,-1.0719395157723637
-0.96,-0.677,-0.9940004376493808
-0.96,-0.657,-0.9136685509272656
-0.96,-0.636,-0.8261078246676901
-0.96,-0.616,-0.7390502242738737
-0.96,-0.596,-0.6479275435404254
-0.96,-0.576,-0.5524565592329027
-0.96,-0.556,-0.45262750934634216
